iter	Logloss
0	0.6793785255
1	0.6667463039
2	0.6560962264
3	0.645899726
4	0.6365664131
5	0.6286934271
6	0.6211582297
7	0.6145312231
8	0.6087002357
9	0.6034069144
10	0.5985825313
11	0.5939677091
12	0.5897679263
13	0.5862298228
14	0.5826816036
15	0.5795519866
16	0.5767514864
17	0.5742449021
18	0.5716671511
19	0.5694721383
20	0.5673765256
21	0.5655333445
22	0.5634722855
23	0.5617752609
24	0.5602024082
25	0.5588323506
26	0.5577323437
27	0.556616697
28	0.5557730182
29	0.5547742592
30	0.5537119275
31	0.5526067878
32	0.5518785152
33	0.5510240029
34	0.5501006199
35	0.5491873735
36	0.548577578
37	0.5477327709
38	0.5470871201
39	0.546522054
40	0.5458951149
41	0.5453285443
42	0.5447781774
43	0.5442212978
44	0.5437616206
45	0.5433924767
46	0.5427723454
47	0.5423564463
48	0.5419700895
49	0.5415409482
50	0.5410846757
51	0.5408166217
52	0.5403780443
53	0.5399342333
54	0.5395449459
55	0.5392048415
56	0.5387865851
57	0.5384514888
58	0.5381739151
59	0.5378553775
60	0.5375088133
61	0.5371984014
62	0.5369214451
63	0.5365890745
64	0.5362993598
65	0.5360207316
66	0.5356770586
67	0.5354504185
68	0.5351975885
69	0.5349765516
70	0.53478982
71	0.534597118
72	0.5343251362
73	0.5340580195
74	0.5338905559
75	0.5335487078
76	0.5332345938
77	0.5330539372
78	0.5328632666
79	0.5327365758
80	0.5324314713
81	0.5321889079
82	0.5320099662
83	0.5318282656
84	0.531700582
85	0.5315635876
86	0.531374906
87	0.5312154449
88	0.5310422892
89	0.5308851312
90	0.530761281
91	0.5306661338
92	0.5304148639
93	0.5303074731
94	0.5301314582
95	0.5299816604
96	0.5297465843
97	0.5296134073
98	0.5294926238
99	0.5293753944
100	0.5292426694
101	0.5291133896
102	0.5290240311
103	0.5289418802
104	0.5288636446
105	0.5287541081
106	0.5286351626
107	0.528498405
108	0.5284104489
109	0.528192183
110	0.528114836
111	0.5280467138
112	0.5279522146
113	0.5277897039
114	0.5276115773
115	0.5275304383
116	0.5274170716
117	0.5273222468
118	0.5272130345
119	0.5270585013
120	0.5269549096
121	0.5268414359
122	0.5266765331
123	0.5265883116
124	0.526426071
125	0.5263487057
126	0.5262634322
127	0.5262061765
128	0.5261413257
129	0.5260689885
130	0.5259779491
131	0.5258393354
132	0.5256935238
133	0.5255526023
134	0.5254673507
135	0.52537862
136	0.5253068194
137	0.5251914027
138	0.52510552
139	0.5249904205
140	0.5249414323
141	0.5247767197
142	0.5246611927
143	0.5246029069
144	0.5245403749
145	0.5244997036
146	0.5244602109
147	0.5243807106
148	0.5242656747
149	0.5241842125
150	0.5240426861
151	0.5239855612
152	0.523909266
153	0.5237525565
154	0.5236697038
155	0.5236061955
156	0.5235158439
157	0.5234070073
158	0.5233123691
159	0.5232213242
160	0.5231790335
161	0.5231236765
162	0.5230744358
163	0.5229806952
164	0.5229339467
165	0.52285411
166	0.5227991168
167	0.5226925952
168	0.5226503587
169	0.5226094705
170	0.5225699984
171	0.5224434076
172	0.52236702
173	0.5223253745
174	0.5222238992
175	0.5221833579
176	0.522133842
177	0.5220651106
178	0.5219918166
179	0.5219271475
180	0.5218579895
181	0.5217583365
182	0.5216397505
183	0.5215804316
184	0.5215042107
185	0.5214413376
186	0.5214038261
187	0.5213307068
188	0.5212505661
189	0.5211948859
190	0.5211462671
191	0.5210561562
192	0.5210057421
193	0.5209671031
194	0.5208761658
195	0.5208213224
196	0.5207812842
197	0.5207464108
198	0.5207058508
199	0.5206696942
