iter	Passed	Remaining
0	17	3489
1	33	3360
2	52	3434
3	71	3514
4	91	3577
5	139	4505
6	168	4632
7	188	4532
8	213	4524
9	266	5072
10	288	4950
11	310	4857
12	332	4785
13	354	4715
14	377	4658
15	395	4553
16	418	4500
17	440	4448
18	459	4374
19	487	4387
20	508	4338
21	527	4266
22	545	4195
23	563	4132
24	589	4123
25	606	4060
26	626	4012
27	647	3979
28	675	3981
29	693	3929
30	709	3866
31	724	3804
32	739	3742
33	755	3686
34	769	3629
35	785	3578
36	800	3525
37	815	3477
38	831	3431
39	850	3401
40	868	3367
41	889	3345
42	909	3321
43	927	3287
44	943	3249
45	962	3221
46	980	3190
47	997	3159
48	1020	3145
49	1036	3110
50	1052	3074
51	1068	3040
52	1084	3008
53	1105	2987
54	1122	2959
55	1138	2926
56	1156	2900
57	1172	2869
58	1187	2838
59	1203	2808
60	1220	2781
61	1236	2751
62	1252	2723
63	1267	2693
64	1285	2669
65	1301	2643
66	1318	2616
67	1333	2587
68	1349	2562
69	1365	2536
70	1381	2509
71	1395	2481
72	1411	2456
73	1437	2446
74	1454	2423
75	1477	2411
76	1496	2390
77	1513	2367
78	1529	2342
79	1545	2317
80	1562	2295
81	1579	2272
82	1594	2247
83	1609	2222
84	1626	2199
85	1653	2191
86	1675	2176
87	1691	2153
88	1706	2128
89	1720	2103
90	1735	2078
91	1750	2055
92	1766	2031
93	1780	2007
94	1795	1984
95	1810	1961
96	1826	1939
97	1844	1919
98	1867	1905
99	1905	1905
100	1927	1889
101	1951	1874
102	2012	1895
103	2035	1879
104	2055	1859
105	2076	1841
106	2104	1829
107	2127	1812
108	2146	1791
109	2161	1768
110	2178	1747
111	2194	1724
112	2214	1704
113	2237	1688
114	2255	1667
115	2271	1645
116	2287	1623
117	2303	1601
118	2318	1578
119	2336	1557
120	2352	1536
121	2377	1519
122	2417	1513
123	2450	1502
124	2474	1484
125	2505	1471
126	2533	1456
127	2561	1440
128	2589	1425
129	2622	1411
130	2655	1398
131	2679	1380
132	2702	1361
133	2728	1343
134	2762	1330
135	2790	1312
136	2812	1293
137	2833	1272
138	2858	1254
139	2875	1232
140	2890	1209
141	2909	1188
142	2926	1166
143	2940	1143
144	2961	1123
145	2980	1102
146	3004	1083
147	3042	1069
148	3066	1049
149	3102	1034
150	3141	1019
151	3158	997
152	3176	975
153	3198	955
154	3218	934
155	3242	914
156	3259	892
157	3275	870
158	3293	849
159	3333	833
160	3353	812
161	3383	793
162	3436	779
163	3552	779
164	3599	763
165	3668	751
166	3724	735
167	3750	714
168	3767	691
169	3789	668
170	3807	645
171	3825	622
172	3848	600
173	3868	578
174	3889	555
175	3905	532
176	3933	511
177	3971	490
178	4002	469
179	4026	447
180	4042	424
181	4063	401
182	4096	380
183	4117	358
184	4135	335
185	4151	312
186	4166	289
187	4182	266
188	4199	244
189	4215	221
190	4230	199
191	4246	176
192	4261	154
193	4276	132
194	4293	110
195	4309	87
196	4333	65
197	4354	43
198	4369	21
199	4383	0
